,C/O ratio,CH4 Conv,O2 Conv,CO Selec,H2 Selec,H2O Selec
0,0.6,4.73895531909e-07,7.20286800207e-07,8.72181362463e-27,0.0510098271033,0.282374549533
1,0.7,4.30676588484e-07,7.81385462876e-07,7.76664650806e-27,0.0534515619884,0.279938932953
2,0.799999999999,3.95402888734e-07,8.37939404129e-07,7.11550486791e-27,0.0556301383386,0.277766403007
3,0.9,3.65913040029e-07,8.9067606819e-07,6.64907733837e-27,0.0576047101372,0.275797835927
4,0.999999999999,3.40800778545e-07,9.4014244251e-07,6.31550718879e-27,0.0594156892045,0.273992836876
5,1.1,3.19102852925e-07,9.86764300123e-07,6.06690200956e-27,0.0610918920066,0.272322600973
6,1.2,3.001322754e-07,1.0308819491e-06,5.88502988314e-27,0.062654609491,0.270765851307
7,1.3,2.83382866977e-07,1.07277334695e-06,5.75527693343e-27,0.0641200452014,0.269306387634
8,1.4,2.68471668446e-07,1.11266922108e-06,5.64864625126e-27,0.0655008531481,0.267931564237
9,1.6,2.43041563927e-07,1.18722296779e-06,5.53647728422e-27,0.0680470955016,0.265397340584
10,1.8,2.22131185521e-07,1.25578705104e-06,5.54227903828e-27,0.0703541593768,0.263102384383
11,2.0,2.04619050634e-07,1.31929641285e-06,5.5814250584e-27,0.0724646226856,0.261004130024
12,2.19999999999,1.89733305297e-07,1.37847641031e-06,5.66405239377e-27,0.0744097939109,0.259071281019
13,2.40000000001,1.76923127512e-07,1.43390237066e-06,5.78080149213e-27,0.0762135797516,0.257279935715
14,2.59999999999,1.657834725e-07,1.48603960629e-06,5.88960742718e-27,0.0778947829744,0.255611292786
