,Species,H2+CO Selec,Normalized H2+CO Selec,Normalized2 H2+CO Selec,CO Yield,H2 Yield
0,[Pt],0.0035770060258,0.00250330791559,0.00608022439792,0.1270519776,0.00246871709378
1,[Pt],-0.0018747832,-0.00130339313961,-0.00317820077539,0.0618838539292,-0.00129084190245
2,O=[Pt],-0.00166137138875,-0.00115167250776,-0.00281306303008,-0.0142746973256,-0.00114455546039
3,C[Pt],8.26996964658e-07,4.05707244e-06,4.88406937445e-06,0.10185918481,1.0934940882e-06
4,O[Pt],-0.000430392651153,-0.00029537464211,-0.000725768564527,0.074706549991,-0.000294547747959
5,O.[Pt],0.000215380690334,0.000154914160699,0.000370294517384,0.0339817905629,0.000148058192597
6,O=C=O.[Pt],8.11060811027e-07,2.23702592956e-06,3.04808673341e-06,0.14502951624,1.07755793295e-06
7,O=C=[Pt],5.91324639777e-07,5.77100324822e-06,6.36232786209e-06,0.0630862422827,9.24412053756e-07
8,C~[Pt],6.8545884237e-07,4.5266039574e-06,5.21206277804e-06,0.0355535037833,9.51955964303e-07
9,C=[Pt],7.93287211385e-07,4.28524966292e-06,5.07853684798e-06,-0.000216208193083,9.93194039456e-07
10,C#[Pt],6.28923165875e-07,5.7795032217e-06,6.40842635241e-06,0.0265377213848,9.62010568694e-07
11,C.[Pt],0.00017834884806,0.000122450760908,0.000300799390574,0.0266980353104,0.000118684194577
12,[H][H].[Pt],6.61967675435e-07,7.20300753138e-07,1.38226842077e-06,0.0665742193292,9.95055079784e-07
13,CC.[Pt],5.04577697637e-07,3.93834305706e-06,4.44292073554e-06,-0.0426472664689,9.0425539063e-07
