,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO Yield,H2 Selectivity,H2 Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp
0,C + [Pt] <=> C.[Pt],-0.000200349250209,0.0411299300585,1.13761766355e-07,0.0413300827892,0.000200349281889,-1.65659077279,-0.041330196504,4.58622879006e-08,-0.0413301506606,8.18545231593e-12,2.87465289667e-12,155.0
1,[O][O] + 2 [Pt] <=> 2 O=[Pt],-0.501179366529,0.0292204483013,-0.732345716852,1.25623554364,0.501179561751,-1.65463940218,-0.527754816584,0.00725255797108,-0.520540534337,1.06540807922e-11,4.9697389061e-12,245.0
2,[H][H] + 2 [Pt] <=> 2 [Pt],-0.00114021820563,0.0274733210199,-3.50118905961e-08,0.0286132479743,0.00114021838609,-1.65754620977,-0.0286132129725,-1.47898689606e-08,-0.0286132277581,8.33162110729e-12,2.50111042987e-12,140.0
3,[H] + [Pt] <=> [Pt],0.0028587070495,0.101412512,-0.00312733676278,0.101680876961,-0.00285870700699,-1.65666020169,-0.0985566223957,-0.00312734191678,-0.10168088211,8.28289817684e-12,2.98833973439e-12,165.0
4,[Pt] + O=[Pt] <=> O[Pt] + [Pt],0.0029270027817,-0.00343130284424,-0.00312739017109,-0.00323090271325,-0.00292700274999,-1.65659077253,0.00635849173917,-1.78621119878e-08,0.00635847387593,7.94183766367e-12,2.97209875757e-12,185.0
5,O + 2 [Pt] <=> O[Pt] + [Pt],-0.000200349182334,0.0347714256214,7.27238813297e-08,0.0349716320398,0.000200349214028,-1.65659077272,-0.0349717047382,3.0028981084e-08,-0.0349716747197,8.08800645503e-12,2.82592996621e-12,125.0
6,[OH] + [Pt] <=> O[Pt],0.0029270026908,0.0919432818528,-0.00312734599213,0.0921434468107,-0.00292700265909,-1.65659077262,-0.0890188847471,-0.00625449545472,-0.0952678125197,8.38034403774e-12,2.84217094303e-12,190.0
7,C + 2 [Pt] <=> C[Pt] + [Pt],0.00292700287555,-0.0193270668817,-0.00312738961847,-0.0191266355432,-0.00292700284384,-1.65659077244,0.0222547211536,-0.00312736315301,0.0191266620146,5.65185993243e-12,6.00916142241e-13,155.0
8,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],-0.000200438820728,0.0665638585676,6.85258585873e-05,0.0666956834591,0.000200438841608,-1.65659086384,-0.066764163567,4.611645125e-05,-0.066718077905,5.40824528017e-12,4.54747350885e-13,20.0
9,CC + 2 [Pt] <=> 2 C[Pt],0.00292700269551,-0.0193270670618,-0.00312734757488,-0.0191266775962,-0.0029270026638,-1.65659077262,0.0222547211536,-0.00312734622324,0.0191266789481,7.95807864049e-12,2.76096605895e-12,135.0
