,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp
0,C + [Pt] <=> C.[Pt],-2.60264319057e-09,-2.89407717472e-10,2.9271468883e-09,-6.13926008152e-10,2.31119603003e-09,2.02200438559e-12,-2.31323099311e-09,2.31195050443e-09,-1.27593259213e-12,-1.38208612992e-11,-2.19249856097e-12,-38.9058679707
1,[O][O] + 2 [Pt] <=> 2 O=[Pt],3.41295322695e-08,2.53335719955e-09,-4.43399577879e-08,1.27437651943e-08,-2.49595604316e-08,-6.63664612519e-09,3.15961856964e-08,1.50112364285e-07,1.8170855352e-07,1.62407300813e-13,6.44756984227e-12,-38.9058679707
2,[H][H] + 2 [Pt] <=> 2 [Pt],-0.000129869464554,-5.15882880087e-05,0.000274475837303,-0.000196194547559,-1.20123929048e-09,7.82822761141e-05,-7.82810748873e-05,-0.00241908294132,-0.00249736212252,-2.09713136986e-08,-2.09701768475e-08,-17.9400977995
3,[H] + [Pt] <=> [Pt],5.59006593457e-09,-2.2695366725e-09,-4.48634612591e-09,-3.37327002067e-09,-6.58131427092e-09,-1.27829561869e-09,7.8596076234e-09,-7.00413564959e-09,8.55471066908e-10,2.19249856097e-12,3.76784937886e-12,-38.9058679707
4,C + 2 [Pt] <=> C[Pt] + [Pt],-0.0347036194811,-0.721072483264,0.0733447298923,-0.759978722217,1.23077922103e-07,-0.6861308755,0.686130751578,-0.646411316603,0.0352842081504,5.10226461347e-06,5.10226531182e-06,45.5684596577
5,CC + 2 [Pt] <=> 2 C[Pt],2.65836205878e-09,9.49284764737e-09,-1.81174009106e-08,2.49518632231e-08,1.12253667855e-08,-4.3908991774e-09,-6.83449044018e-09,1.33754786401e-08,6.54099092361e-09,-8.6725498634e-12,1.62407300813e-12,-38.9058679707
6,[CH3] + [Pt] <=> C[Pt],2.26644071047e-08,1.24105043707e-09,-2.56073896148e-08,4.18402297146e-09,-2.00213320776e-08,-1.40204617556e-09,2.14233665223e-08,-2.09430196982e-08,4.80346884823e-10,-6.34687731576e-11,-1.26677694634e-12,-38.2029339853
7,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-7.61991494864e-09,-1.91574101307e-09,1.03147910842e-08,-4.6106256696e-09,5.19964150709e-09,5.04528978904e-10,-5.70417071783e-09,-4.22362168987e-08,-4.79403887165e-08,-7.35705072682e-12,-3.67040499837e-12,-36.2163814181
8,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],2.0876443255e-08,5.83404330584e-10,-2.05919153346e-08,2.98855691052e-10,-2.11319882577e-08,8.3893739652e-10,2.02930467999e-08,-2.15126216129e-08,-1.21957691521e-09,-3.60544207804e-12,9.09480884552e-13,-31.1430317848
9,2 C=[Pt] <=> C[Pt] + C#[Pt],-5.48406789451e-09,2.20103101615e-10,5.61423724722e-09,8.99273118892e-11,5.36717418693e-09,3.36974807798e-10,-5.70417071783e-09,5.26689407047e-09,-4.37275216386e-10,-2.47508726439e-11,7.30832853658e-13,-38.1112469438
10,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],1.34446014208e-08,1.06376337067e-09,-1.3202132523e-08,8.21274056605e-10,-1.36623733078e-08,1.28150360642e-09,1.23808476281e-08,-1.42967424948e-08,-1.915890297e-09,-2.48970392146e-11,1.08812891545e-12,-38.1112469438
11,C~[Pt] + [H][H] <=> C=[Pt],7.09700220274e-09,-4.15354465277e-09,5.25833697012e-09,-1.65088706375e-08,-1.81933051812e-08,6.94274648141e-09,1.12505473481e-08,-1.60872835602e-07,-1.49622283114e-07,-5.60305187804e-12,6.13899597072e-12,-38.9058679707
12,C[Pt] + C~[Pt] <=> C=[Pt] + C#[Pt],1.23849251753e-08,3.39502478676e-09,-1.11461686923e-08,2.15624218731e-09,-1.34974496524e-08,4.50753383422e-09,8.98990790341e-09,-1.6038845948e-08,-7.04893134131e-09,1.39670278699e-12,2.27370221138e-12,102.16992665
13,C=[Pt] + C~[Pt] <=> 2 C#[Pt],2.50758303458e-09,7.0814444467e-09,-1.89114207334e-09,6.465003043e-09,-3.06119620591e-09,7.63504967528e-09,-4.57385099547e-09,-6.85511988986e-09,-1.1428969438e-08,1.54286935772e-12,6.82110663414e-12,-38.5085574572
14,[H][H] + [Pt] <=> [H][H].[Pt],6.58094464408e-09,-2.40896534986e-09,-2.39191193528e-09,-6.59801060301e-09,-1.03431057206e-08,1.35318755035e-09,8.98990790341e-09,-1.10362090337e-08,-2.04629776268e-09,-2.14377637073e-11,3.18318309593e-12,-38.8141809291
15,[C-]#[O+] + [Pt] <=> O=C=[Pt],3.48398324941e-06,-0.000126172011161,-7.35677017445e-06,-0.000122299219218,-5.84180570422e-09,-0.00012965015712,0.000129655998923,6.46769660796e-05,0.000194333048866,2.49913978564e-09,2.49985437776e-09,38.1723716381
16,C~[Pt] + O=[Pt] <=> O=C=[Pt] + [Pt],0.000271708127877,-0.0158611013099,-0.000574255944127,-0.015558504684,9.40150322606e-09,-0.0161328626751,0.016132853272,0.00506117237723,0.0211948421608,2.86482645821e-07,2.86484075006e-07,-37.6833740831
17,[C-]#[O+] + [Pt] <=> [C-]#[O+].[Pt],-4.87194412848e-09,-2.98093841363e-10,5.33929532075e-09,-7.65464569352e-10,4.45222815125e-09,1.21611898383e-10,-4.57385099547e-09,4.4104688222e-09,-1.6337899481e-10,2.28994294146e-12,1.03778265219e-11,-38.9058679707
18,C=O + 2 [Pt] <=> O=C[Pt] + [Pt],8.77605514274e-09,-2.13854828533e-10,-8.10461204138e-09,-8.85309922895e-10,-9.37908781979e-09,3.89177517176e-10,8.98990790341e-09,-9.60582388829e-09,-6.15917703887e-10,-5.52184822764e-13,1.51038789756e-12,-34.902200489
19,[CH]=O + [Pt] <=> O=C[Pt],1.25254916083e-08,1.44652643383e-10,-1.20116528951e-08,-3.6921288018e-10,-1.2986957926e-08,6.0609581458e-10,1.23808476281e-08,-1.32377119223e-08,-8.56866245536e-10,1.75399884878e-12,1.62407300813e-12,109.35207824
20,CC=O + 2 [Pt] <=> C[Pt] + O=C[Pt],5.31307425678e-09,-3.67683214583e-09,-2.05838677111e-09,-6.93152532784e-09,-8.23610194025e-09,-7.53818788827e-10,8.98990790341e-09,-7.81598690941e-09,1.17391760777e-09,-2.82426296113e-11,3.20104789902e-11,-38.9058679707
21,O=C[Pt] + [Pt] <=> [Pt] + O=C=[Pt],1.37002437527e-08,-9.41235759839e-10,-1.33426012569e-08,-1.29888030478e-09,-1.40214416929e-08,-6.2005542178e-10,1.46414870728e-08,-1.38647983483e-08,7.76685210495e-10,5.71998513463e-11,5.77033139788e-11,6.87652811736
22,C=[Pt] + O=C[Pt] <=> C[Pt] + O=C=[Pt],2.07128078302e-08,4.19761034261e-10,-2.05831012708e-08,2.90044806136e-10,-2.08292970063e-08,5.36239451528e-10,2.02930467999e-08,-2.11624849667e-08,-8.69434777799e-10,1.08325669642e-11,1.41619166309e-11,-36.6136919315
23,O=C[Pt] + C#[Pt] <=> C=[Pt] + O=C=[Pt],2.02196086945e-08,-3.4643703749e-09,-1.88133163708e-08,-4.87068748899e-09,-2.14826078443e-08,-2.20139894776e-09,2.36839865246e-08,-2.04291863392e-08,3.25479672108e-09,-1.64356188423e-11,-1.36259725382e-11,-38.9058679707
24,O=C[Pt] + C~[Pt] <=> C#[Pt] + O=C=[Pt],1.01048150343e-08,-1.54055782218e-11,-8.61645820232e-09,-1.50378208788e-09,-1.14414939345e-08,1.32126321188e-09,1.01202276258e-08,-1.21031384492e-08,-1.9829065696e-09,-5.66801479837e-12,2.69596119349e-12,-38.9058679707
25,O + [Pt] <=> O.[Pt],4.21064082814e-09,-2.51249206468e-08,-4.64839880853e-09,-2.46871686534e-08,-3.81748024505e-09,-2.55180841931e-08,2.93355656941e-08,8.9277490686e-09,3.82633105013e-08,5.84666282926e-13,6.65869933332e-13,64.9144254279
26,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],4.30447096936e-06,-4.21691287656e-06,-9.06334224046e-06,5.41958808405e-07,-3.05391425198e-08,-8.49084506675e-06,8.52138420555e-06,7.95550706272e-05,8.80764616099e-05,7.98150679845e-10,8.00197011835e-10,-38.9058679707
27,C + O[Pt] + [Pt] <=> C[Pt] + O.[Pt],-1.94243952777e-09,-3.02014888799e-09,3.75351791032e-09,-4.83124416634e-09,3.159140096e-10,-1.39364708042e-09,1.07770873161e-09,-1.96308039686e-09,-8.85366048295e-10,-3.18318309593e-11,4.22258982113e-13,-38.0806845966
