,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp
0,[Pt],0.0241168152289,0.0655467063106,-0.0269000092274,0.0683287469567,-0.021398002037,0.0628290197918,-0.0414398850622,0.0523516363858,0.0108900568656,0.00179130966063,-0.00514327816099,0.0
1,[Pt],0.0241271332694,0.0655551899703,-0.0269448686264,0.0683717577126,-0.0213745777294,0.0628037750357,-0.0414380545155,0.0523729439113,0.0109131870668,0.00179228232968,-0.00514353624674,0.0
2,O=[Pt],1.09836825105e-05,8.95808494119e-06,-3.87469589828e-05,3.6721361957e-05,1.61373742188e-05,-1.8162972347e-05,2.0255977983e-06,1.78740645871e-05,1.98996627435e-05,1.09128639059e-06,1.5977551557e-06,0.0
3,C[Pt],-5.42696019389e-08,7.2689001144e-08,9.68721868229e-08,3.00864111374e-08,1.26524994831e-08,1.14306094646e-07,-1.26958605474e-07,1.34329019892e-07,7.37040612519e-09,2.4788715302e-08,-1.79337803256e-09,0.0
4,O[Pt],0.00616755477278,0.0459709636442,-0.0051607565453,0.0449645661814,-0.00715106375705,0.0469540811342,-0.0398058639198,0.0381662453024,-0.00165481102115,-0.00131015427545,-0.00514347579551,0.0
5,O.[Pt],0.00616709257599,0.0459704964431,-0.00516032871651,0.0449641333346,-0.00715056798726,0.0469535803735,-0.0398058587312,0.0381660096978,-0.00165504134129,-0.00131022213438,-0.00514361059196,0.0
6,O=C=O.[Pt],0.00616719139037,0.0459705817461,-0.00516062036929,0.0449644113992,-0.00715047842395,0.046953477374,-0.0398058452584,0.0381661464963,-0.00165489111933,-0.00131021124388,-0.0051435430764,0.0
7,O=C=[Pt],3.72202459065e-06,8.53270725292e-06,-1.08491296435e-05,1.56598119753e-05,3.24021634559e-06,1.57046663634e-06,-4.81068284363e-06,1.02896399603e-05,5.47895662296e-06,3.78032364116e-07,-3.17534400992e-06,0.0
8,C~[Pt],0.00616704775978,0.0459704891347,-0.00515999916401,0.0449638414036,-0.00715080132083,0.0469538511038,-0.0398058962235,0.0381658874715,-0.00165520102562,-0.00131021899818,-0.00514353959994,0.0
9,C=[Pt],-6.44908957416e-08,6.21407557516e-08,1.06234426917e-07,2.03972191123e-08,2.37129583136e-08,1.02918667498e-07,-1.26631644582e-07,1.17621644472e-07,-9.01000823891e-09,1.71120363543e-08,-3.85035561747e-09,0.0
10,C#[Pt],0.0241272306942,0.0655552813889,-0.0269446706264,0.0683715538291,-0.0213749637451,0.0628041549256,-0.0414380485483,0.0523728276304,0.0109130768043,0.001792294439,-0.00514353907044,0.0
11,C.[Pt],0.0241235446276,0.0655516259676,-0.026939167254,0.0683660818541,-0.0213730529464,0.0628022740373,-0.0414380776731,0.0523699181056,0.0109101393451,0.00179176899355,-0.00514279089403,0.0
12,[H][H].[Pt],0.0241267804855,0.0655548636885,-0.0269439494325,0.0683708652547,-0.0213747782533,0.0628040018332,-0.0414380808778,0.0523724877664,0.0109127047348,0.00179223712039,-0.00514353272245,0.0
13,[C-]#[O+].[Pt],0.0241272237092,0.0655553042504,-0.0269446550706,0.0683715681225,-0.0213749651326,0.0628041861569,-0.0414380783991,0.0523728633927,0.0109130826853,0.00179230133468,-0.00514353938623,0.0
14,O=C[Pt],0.00616708032469,0.0459705049478,-0.00516004382926,0.0449638693121,-0.0071508220653,0.0469538551014,-0.0398058794837,0.0381658865421,-0.00165518520842,-0.00131021883953,-0.00514353961386,0.0
