This mechanism contains 38 gas reactions and 41 surface reactions
  distance(mm)   X_CH4        X_O2        X_H2       X_CO       X_H2O       X_CO2
    0.000000    0.022445    0.012470    0.000000   0.000000   0.000000   0.000000
    1.000000    0.022445    0.012470    0.000000   0.000000   0.000000   0.000000
    2.000000    0.022445    0.012470    0.000000   0.000000   0.000000   0.000000
    3.000000    0.022445    0.012470    0.000000   0.000000   0.000000   0.000000
    4.000000    0.022445    0.012470    0.000000   0.000000   0.000000   0.000000
    5.000000    0.022445    0.012470    0.000000   0.000000   0.000000   0.000000
    6.000000    0.022445    0.012470    0.000000   0.000000   0.000000   0.000000
    7.000000    0.022445    0.012470    0.000000   0.000000   0.000000   0.000000
    8.000000    0.022445    0.012470    0.000000   0.000000   0.000000   0.000000
    9.000000    0.022445    0.012470    0.000000   0.000000   0.000000   0.000000
   10.000000    0.022445    0.012469    0.000000   0.000000   0.000001   0.000000
   11.000000    0.022403    0.012385    0.000000   0.000000   0.000085   0.000042
   12.000000    0.022346    0.012271    0.000000   0.000000   0.000198   0.000099
   13.000000    0.022260    0.012099    0.000000   0.000000   0.000370   0.000185
   14.000000    0.022097    0.011774    0.000000   0.000000   0.000696   0.000348
   15.000000    0.021276    0.010131    0.000000   0.000001   0.002339   0.001169
   16.000000    0.008146    0.000320    0.015181   0.007592   0.009987   0.003359
   17.000000    0.005891    0.000006    0.020427   0.010426   0.009190   0.002655
   18.000000    0.005191    0.000000    0.022144   0.011494   0.008878   0.002284
   19.000000    0.004804    0.000000    0.023093   0.012100   0.008708   0.002066
   20.000000    0.004542    0.000000    0.023747   0.012501   0.008580   0.001929
   21.000000    0.004531    0.000000    0.023755   0.012501   0.008580   0.001929
   22.000000    0.004526    0.000000    0.023760   0.012501   0.008580   0.001929
   23.000000    0.004521    0.000000    0.023765   0.012501   0.008580   0.001929
   24.000000    0.004516    0.000000    0.023770   0.012501   0.008580   0.001929
   25.000000    0.004511    0.000000    0.023775   0.012501   0.008580   0.001929
   26.000000    0.004506    0.000000    0.023780   0.012501   0.008580   0.001929
   27.000000    0.004501    0.000000    0.023785   0.012501   0.008580   0.001929
   28.000000    0.004497    0.000000    0.023790   0.012501   0.008580   0.001929
   29.000000    0.004492    0.000000    0.023794   0.012501   0.008580   0.001929
   30.000000    0.004487    0.000000    0.023799   0.012501   0.008580   0.001929
   31.000000    0.004483    0.000000    0.023804   0.012501   0.008580   0.001929
   32.000000    0.004478    0.000000    0.023808   0.012501   0.008580   0.001929
   33.000000    0.004474    0.000000    0.023813   0.012501   0.008580   0.001929
   34.000000    0.004469    0.000000    0.023817   0.012501   0.008580   0.001929
   35.000000    0.004465    0.000000    0.023822   0.012501   0.008580   0.001929
   36.000000    0.004461    0.000000    0.023826   0.012501   0.008580   0.001929
   37.000000    0.004456    0.000000    0.023830   0.012501   0.008580   0.001929
   38.000000    0.004452    0.000000    0.023834   0.012501   0.008580   0.001929
   39.000000    0.004448    0.000000    0.023839   0.012501   0.008580   0.001929
   40.000000    0.004444    0.000000    0.023843   0.012501   0.008580   0.001929
   41.000000    0.004440    0.000000    0.023847   0.012501   0.008580   0.001929
   42.000000    0.004436    0.000000    0.023851   0.012501   0.008580   0.001929
   43.000000    0.004432    0.000000    0.023855   0.012501   0.008580   0.001929
   44.000000    0.004428    0.000000    0.023859   0.012501   0.008580   0.001929
   45.000000    0.004424    0.000000    0.023863   0.012501   0.008580   0.001929
   46.000000    0.004420    0.000000    0.023867   0.012501   0.008580   0.001929
   47.000000    0.004416    0.000000    0.023871   0.012501   0.008580   0.001929
   48.000000    0.004412    0.000000    0.023874   0.012501   0.008580   0.001929
   49.000000    0.004409    0.000000    0.023878   0.012501   0.008580   0.001929
   50.000000    0.004405    0.000000    0.023882   0.012501   0.008580   0.001929
   51.000000    0.004401    0.000000    0.023885   0.012501   0.008580   0.001929
   52.000000    0.004398    0.000000    0.023889   0.012501   0.008580   0.001929
   53.000000    0.004394    0.000000    0.023893   0.012501   0.008580   0.001929
   54.000000    0.004391    0.000000    0.023896   0.012501   0.008580   0.001929
   55.000000    0.004387    0.000000    0.023900   0.012501   0.008580   0.001929
   56.000000    0.004384    0.000000    0.023903   0.012501   0.008580   0.001929
   57.000000    0.004380    0.000000    0.023907   0.012501   0.008580   0.001929
   58.000000    0.004377    0.000000    0.023910   0.012501   0.008580   0.001929
