This mechanism contains 38 gas reactions and 41 surface reactions
  distance(mm)   X_CH4        X_O2        X_H2       X_CO       X_H2O       X_CO2
    0.000000    0.039296    0.008931    0.000000   0.000000   0.000000   0.000000
    1.000000    0.039296    0.008931    0.000000   0.000000   0.000000   0.000000
    2.000000    0.039296    0.008931    0.000000   0.000000   0.000000   0.000000
    3.000000    0.039296    0.008931    0.000000   0.000000   0.000000   0.000000
    4.000000    0.039296    0.008931    0.000000   0.000000   0.000000   0.000000
    5.000000    0.039296    0.008931    0.000000   0.000000   0.000000   0.000000
    6.000000    0.039296    0.008931    0.000000   0.000000   0.000000   0.000000
    7.000000    0.039296    0.008931    0.000000   0.000000   0.000000   0.000000
    8.000000    0.039296    0.008931    0.000000   0.000000   0.000000   0.000000
    9.000000    0.039296    0.008931    0.000000   0.000000   0.000000   0.000000
   10.000000    0.039295    0.008928    0.000000   0.000000   0.000003   0.000001
   11.000000    0.039039    0.008418    0.000000   0.000003   0.000515   0.000254
   12.000000    0.035190    0.001228    0.000009   0.000965   0.008184   0.003128
   13.000000    0.033118    0.000126    0.001519   0.001730   0.009269   0.003304
   14.000000    0.032169    0.000126    0.002397   0.001730   0.009267   0.003304
   15.000000    0.031621    0.000126    0.002992   0.001730   0.009267   0.003304
   16.000000    0.031239    0.000126    0.003421   0.001730   0.009267   0.003304
   17.000000    0.030945    0.000126    0.003752   0.001730   0.009268   0.003304
   18.000000    0.030705    0.000126    0.004020   0.001730   0.009268   0.003304
   19.000000    0.030503    0.000126    0.004245   0.001730   0.009268   0.003304
   20.000000    0.030328    0.000126    0.004438   0.001730   0.009268   0.003304
   21.000000    0.030174    0.000126    0.004608   0.001730   0.009269   0.003304
   22.000000    0.030036    0.000126    0.004759   0.001730   0.009269   0.003304
   23.000000    0.029911    0.000126    0.004895   0.001730   0.009269   0.003304
   24.000000    0.029797    0.000126    0.005019   0.001730   0.009269   0.003304
   25.000000    0.029692    0.000126    0.005132   0.001730   0.009269   0.003304
   26.000000    0.029595    0.000126    0.005237   0.001730   0.009269   0.003304
   27.000000    0.029505    0.000126    0.005335   0.001730   0.009269   0.003304
   28.000000    0.029420    0.000126    0.005426   0.001730   0.009269   0.003304
   29.000000    0.029340    0.000126    0.005511   0.001730   0.009269   0.003304
   30.000000    0.029265    0.000126    0.005591   0.001730   0.009269   0.003304
   31.000000    0.029194    0.000126    0.005667   0.001730   0.009270   0.003304
   32.000000    0.029127    0.000126    0.005738   0.001730   0.009270   0.003304
   33.000000    0.029063    0.000126    0.005806   0.001730   0.009270   0.003304
   34.000000    0.029002    0.000126    0.005871   0.001730   0.009270   0.003304
   35.000000    0.028944    0.000126    0.005933   0.001730   0.009270   0.003304
   36.000000    0.028888    0.000126    0.005992   0.001730   0.009270   0.003304
   37.000000    0.028835    0.000126    0.006049   0.001730   0.009270   0.003304
   38.000000    0.028783    0.000126    0.006103   0.001730   0.009270   0.003304
   39.000000    0.028734    0.000126    0.006155   0.001730   0.009270   0.003304
   40.000000    0.028686    0.000126    0.006206   0.001730   0.009270   0.003304
   41.000000    0.028640    0.000126    0.006254   0.001730   0.009270   0.003304
   42.000000    0.028596    0.000126    0.006301   0.001730   0.009270   0.003304
   43.000000    0.028553    0.000126    0.006346   0.001730   0.009270   0.003304
   44.000000    0.028512    0.000126    0.006390   0.001730   0.009270   0.003304
   45.000000    0.028471    0.000126    0.006432   0.001730   0.009270   0.003304
   46.000000    0.028432    0.000126    0.006473   0.001730   0.009270   0.003304
   47.000000    0.028395    0.000126    0.006513   0.001730   0.009270   0.003304
   48.000000    0.028358    0.000126    0.006551   0.001730   0.009270   0.003304
   49.000000    0.028322    0.000126    0.006589   0.001730   0.009270   0.003304
   50.000000    0.028287    0.000126    0.006625   0.001730   0.009270   0.003304
   51.000000    0.028253    0.000126    0.006661   0.001730   0.009270   0.003304
   52.000000    0.028220    0.000126    0.006695   0.001730   0.009270   0.003304
   53.000000    0.028188    0.000126    0.006729   0.001730   0.009270   0.003304
   54.000000    0.028157    0.000126    0.006762   0.001730   0.009270   0.003304
   55.000000    0.028126    0.000126    0.006794   0.001730   0.009270   0.003304
   56.000000    0.028096    0.000126    0.006825   0.001730   0.009270   0.003304
   57.000000    0.028067    0.000126    0.006856   0.001730   0.009270   0.003304
   58.000000    0.028038    0.000126    0.006886   0.001730   0.009270   0.003304
   59.000000    0.028010    0.000126    0.006915   0.001730   0.009270   0.003304
   60.000000    0.027983    0.000126    0.006943   0.001730   0.009270   0.003304
   61.000000    0.027956    0.000126    0.006971   0.001730   0.009270   0.003304
   62.000000    0.027930    0.000126    0.006999   0.001730   0.009270   0.003304
   63.000000    0.027904    0.000126    0.007026   0.001730   0.009270   0.003304
   64.000000    0.027879    0.000126    0.007052   0.001730   0.009270   0.003304
   65.000000    0.027854    0.000126    0.007078   0.001730   0.009270   0.003304
   66.000000    0.027830    0.000126    0.007103   0.001730   0.009270   0.003304
   67.000000    0.027806    0.000126    0.007128   0.001730   0.009270   0.003304
   68.000000    0.027783    0.000126    0.007152   0.001730   0.009270   0.003304
   69.000000    0.027760    0.000126    0.007176   0.001730   0.009270   0.003304
   70.000000    0.027737    0.000126    0.007199   0.001730   0.009270   0.003304
Finished simulation at a C/O ratio of 2.2
  distance(mm)   X_CH4        X_O2        X_H2       X_CO       X_H2O       X_CO2
    0.000000    0.042711    0.008214    0.000000   0.000000   0.000000   0.000000
    1.000000    0.042711    0.008214    0.000000   0.000000   0.000000   0.000000
    2.000000    0.042711    0.008214    0.000000   0.000000   0.000000   0.000000
    3.000000    0.042711    0.008214    0.000000   0.000000   0.000000   0.000000
    4.000000    0.042711    0.008214    0.000000   0.000000   0.000000   0.000000
    5.000000    0.042711    0.008214    0.000000   0.000000   0.000000   0.000000
    6.000000    0.042711    0.008214    0.000000   0.000000   0.000000   0.000000
    7.000000    0.042711    0.008214    0.000000   0.000000   0.000000   0.000000
    8.000000    0.042711    0.008214    0.000000   0.000000   0.000000   0.000000
    9.000000    0.042711    0.008214    0.000000   0.000000   0.000000   0.000000
   10.000000    0.042710    0.008210    0.000000   0.000000   0.000004   0.000002
   11.000000    0.042314    0.007421    0.000000   0.000005   0.000795   0.000392
   12.000000    0.038449    0.000260    0.000034   0.001042   0.008462   0.003201
   13.000000    0.037862    0.000002    0.001185   0.001553   0.008415   0.003228
   14.000000    0.037493    0.000000    0.002316   0.001935   0.008041   0.003226
   15.000000    0.037229    0.000000    0.003132   0.002212   0.007769   0.003224
   16.000000    0.037023    0.000000    0.003767   0.002427   0.007557   0.003222
   17.000000    0.036852    0.000000    0.004288   0.002604   0.007384   0.003220
   18.000000    0.036706    0.000000    0.004733   0.002754   0.007237   0.003218
   19.000000    0.036578    0.000000    0.005122   0.002887   0.007108   0.003216
   20.000000    0.036464    0.000000    0.005463   0.003003   0.006995   0.003215
   21.000000    0.036411    0.000000    0.005490   0.003003   0.006995   0.003215
   22.000000    0.036361    0.000000    0.005518   0.003003   0.006995   0.003215
   23.000000    0.036313    0.000000    0.005546   0.003003   0.006995   0.003215
   24.000000    0.036268    0.000000    0.005575   0.003003   0.006995   0.003215
   25.000000    0.036224    0.000000    0.005605   0.003003   0.006995   0.003215
   26.000000    0.036183    0.000000    0.005634   0.003003   0.006995   0.003215
   27.000000    0.036143    0.000000    0.005664   0.003003   0.006995   0.003215
   28.000000    0.036105    0.000000    0.005694   0.003003   0.006995   0.003215
   29.000000    0.036068    0.000000    0.005725   0.003003   0.006995   0.003215
   30.000000    0.036032    0.000000    0.005755   0.003003   0.006995   0.003215
   31.000000    0.035998    0.000000    0.005785   0.003003   0.006995   0.003215
   32.000000    0.035965    0.000000    0.005815   0.003003   0.006995   0.003215
   33.000000    0.035932    0.000000    0.005844   0.003003   0.006995   0.003215
   34.000000    0.035901    0.000000    0.005873   0.003003   0.006995   0.003215
   35.000000    0.035870    0.000000    0.005902   0.003003   0.006995   0.003215
   36.000000    0.035841    0.000000    0.005931   0.003003   0.006995   0.003215
   37.000000    0.035812    0.000000    0.005959   0.003003   0.006995   0.003215
   38.000000    0.035783    0.000000    0.005987   0.003003   0.006995   0.003215
   39.000000    0.035756    0.000000    0.006014   0.003003   0.006995   0.003215
   40.000000    0.035729    0.000000    0.006041   0.003003   0.006995   0.003215
   41.000000    0.035702    0.000000    0.006068   0.003003   0.006995   0.003215
   42.000000    0.035677    0.000000    0.006094   0.003003   0.006995   0.003215
   43.000000    0.035651    0.000000    0.006120   0.003003   0.006995   0.003215
   44.000000    0.035626    0.000000    0.006145   0.003003   0.006995   0.003215
   45.000000    0.035602    0.000000    0.006170   0.003003   0.006995   0.003215
   46.000000    0.035578    0.000000    0.006194   0.003003   0.006995   0.003215
   47.000000    0.035555    0.000000    0.006219   0.003003   0.006995   0.003215
   48.000000    0.035532    0.000000    0.006242   0.003003   0.006995   0.003215
   49.000000    0.035510    0.000000    0.006265   0.003003   0.006995   0.003215
   50.000000    0.035488    0.000000    0.006288   0.003003   0.006995   0.003215
   51.000000    0.035466    0.000000    0.006311   0.003003   0.006995   0.003215
   52.000000    0.035444    0.000000    0.006333   0.003003   0.006995   0.003215
   53.000000    0.035423    0.000000    0.006355   0.003003   0.006995   0.003215
   54.000000    0.035403    0.000000    0.006377   0.003003   0.006995   0.003215
   55.000000    0.035382    0.000000    0.006398   0.003003   0.006995   0.003215
   56.000000    0.035362    0.000000    0.006419   0.003003   0.006995   0.003215
   57.000000    0.035343    0.000000    0.006439   0.003003   0.006995   0.003215
   58.000000    0.035323    0.000000    0.006459   0.003003   0.006995   0.003215
   59.000000    0.035304    0.000000    0.006479   0.003003   0.006995   0.003215
   60.000000    0.035285    0.000000    0.006499   0.003003   0.006995   0.003215
   61.000000    0.035267    0.000000    0.006518   0.003003   0.006995   0.003215
   62.000000    0.035248    0.000000    0.006538   0.003003   0.006995   0.003215
   63.000000    0.035230    0.000000    0.006556   0.003003   0.006995   0.003215
   64.000000    0.035213    0.000000    0.006575   0.003003   0.006995   0.003215
   65.000000    0.035195    0.000000    0.006593   0.003003   0.006995   0.003215
   66.000000    0.035178    0.000000    0.006611   0.003003   0.006995   0.003215
   67.000000    0.035161    0.000000    0.006629   0.003003   0.006995   0.003215
   68.000000    0.035144    0.000000    0.006647   0.003003   0.006995   0.003215
   69.000000    0.035127    0.000000    0.006664   0.003003   0.006995   0.003215
   70.000000    0.035111    0.000000    0.006681   0.003003   0.006995   0.003215
Finished simulation at a C/O ratio of 2.6
  distance(mm)   X_CH4        X_O2        X_H2       X_CO       X_H2O       X_CO2
    0.000000    0.035227    0.009785    0.000000   0.000000   0.000000   0.000000
    1.000000    0.035227    0.009785    0.000000   0.000000   0.000000   0.000000
    2.000000    0.035227    0.009785    0.000000   0.000000   0.000000   0.000000
    3.000000    0.035227    0.009785    0.000000   0.000000   0.000000   0.000000
    4.000000    0.035227    0.009785    0.000000   0.000000   0.000000   0.000000
    5.000000    0.035227    0.009785    0.000000   0.000000   0.000000   0.000000
    6.000000    0.035227    0.009785    0.000000   0.000000   0.000000   0.000000
    7.000000    0.035227    0.009785    0.000000   0.000000   0.000000   0.000000
    8.000000    0.035227    0.009785    0.000000   0.000000   0.000000   0.000000
    9.000000    0.035227    0.009785    0.000000   0.000000   0.000000   0.000000
   10.000000    0.035226    0.009783    0.000000   0.000000   0.000002   0.000001
   11.000000    0.035063    0.009458    0.000000   0.000002   0.000328   0.000162
   12.000000    0.034085    0.007524    0.000000   0.000045   0.002284   0.001097
   13.000000    0.027738    0.000459    0.002682   0.002221   0.009790   0.003317
   14.000000    0.026301    0.000459    0.004249   0.002221   0.009791   0.003317
   15.000000    0.025631    0.000459    0.005004   0.002221   0.009792   0.003317
   16.000000    0.025185    0.000459    0.005498   0.002221   0.009793   0.003317
   17.000000    0.024850    0.000459    0.005865   0.002221   0.009793   0.003317
   18.000000    0.024581    0.000459    0.006156   0.002221   0.009793   0.003317
   19.000000    0.024356    0.000459    0.006397   0.002221   0.009794   0.003317
   20.000000    0.024164    0.000459    0.006603   0.002221   0.009794   0.003317
   21.000000    0.023996    0.000459    0.006783   0.002221   0.009794   0.003317
   22.000000    0.023846    0.000459    0.006941   0.002221   0.009794   0.003317
   23.000000    0.023712    0.000459    0.007084   0.002221   0.009794   0.003317
   24.000000    0.023590    0.000459    0.007213   0.002221   0.009795   0.003317
   25.000000    0.023478    0.000459    0.007331   0.002221   0.009795   0.003317
   26.000000    0.023375    0.000459    0.007439   0.002221   0.009795   0.003317
   27.000000    0.023279    0.000459    0.007540   0.002221   0.009795   0.003317
   28.000000    0.023190    0.000459    0.007633   0.002221   0.009795   0.003317
   29.000000    0.023106    0.000459    0.007721   0.002221   0.009795   0.003317
   30.000000    0.023028    0.000459    0.007803   0.002221   0.009795   0.003317
   31.000000    0.022953    0.000459    0.007881   0.002221   0.009795   0.003317
   32.000000    0.022883    0.000459    0.007954   0.002221   0.009795   0.003317
   33.000000    0.022817    0.000459    0.008023   0.002221   0.009795   0.003317
   34.000000    0.022753    0.000459    0.008089   0.002221   0.009795   0.003317
   35.000000    0.022693    0.000459    0.008152   0.002221   0.009795   0.003317
   36.000000    0.022635    0.000459    0.008212   0.002221   0.009795   0.003317
   37.000000    0.022580    0.000459    0.008270   0.002221   0.009795   0.003317
   38.000000    0.022527    0.000459    0.008325   0.002221   0.009795   0.003317
   39.000000    0.022476    0.000459    0.008378   0.002221   0.009795   0.003317
   40.000000    0.022427    0.000459    0.008428   0.002221   0.009795   0.003317
   41.000000    0.022380    0.000459    0.008477   0.002221   0.009795   0.003317
   42.000000    0.022334    0.000459    0.008524   0.002221   0.009796   0.003317
   43.000000    0.022290    0.000459    0.008570   0.002221   0.009796   0.003317
   44.000000    0.022248    0.000459    0.008614   0.002221   0.009796   0.003317
   45.000000    0.022207    0.000459    0.008656   0.002221   0.009796   0.003317
   46.000000    0.022167    0.000459    0.008697   0.002221   0.009796   0.003317
   47.000000    0.022128    0.000459    0.008737   0.002221   0.009796   0.003317
   48.000000    0.022091    0.000459    0.008776   0.002221   0.009796   0.003317
   49.000000    0.022054    0.000459    0.008814   0.002221   0.009796   0.003317
   50.000000    0.022019    0.000459    0.008850   0.002221   0.009796   0.003317
   51.000000    0.021985    0.000459    0.008886   0.002221   0.009796   0.003317
   52.000000    0.021951    0.000459    0.008920   0.002221   0.009796   0.003317
   53.000000    0.021919    0.000459    0.008954   0.002221   0.009796   0.003317
