,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp
0,C + [Pt] <=> C.[Pt],0.476569104941,0.573628714961,-0.680256954197,0.777117918903,-0.328959427885,0.426162993329,-0.0975243810897,0.134424282916,0.0367688053765,-0.0469616877289,0.00113443193701,0.0639795265515
1,[O][O] + 2 [Pt] <=> 2 O=[Pt],0.342801799142,0.317440020247,-0.478710192273,0.453383000731,-0.244310926502,0.218924082647,0.0254490185882,0.0817474617894,0.107217284304,0.00492059039001,0.0326231273671,0.319897632758
2,[H][H] + 2 [Pt] <=> 2 [Pt],-8.68256770395e-05,-0.000489401397408,0.00158123719897,-0.00198381893547,-0.0009961530227,0.000593581662138,0.000402575370832,-0.000674929676255,-0.000272357022518,0.000106264388721,-1.84380401788e-05,0.0
3,[H] + [Pt] <=> [Pt],0.0995767920983,0.120793306233,-0.142465583248,0.163672988806,-0.0684958973171,0.0897190123071,-0.0212376619171,0.0284240877792,0.0071803892505,-0.0101297171354,-6.133074931e-05,0.0
4,[Pt] + O=[Pt] <=> O[Pt] + [Pt],-1.12247782186e-05,-5.00575250253e-05,7.24269719955e-05,-0.000111259742557,-3.31275780536e-05,-5.70515153848e-06,3.88327424407e-05,-3.14418206501e-05,7.39090958503e-06,1.33228417288e-05,-1.52219231486e-06,0.0
5,O + 2 [Pt] <=> O[Pt] + [Pt],-0.000473091375425,-0.00149603285262,0.0024705060601,-0.0034934679696,-0.000974406536849,-4.85201333625e-05,0.00102293663777,-0.00100242220918,2.05041744554e-05,0.000341353540679,9.98790977915e-06,0.0
6,[OH] + [Pt] <=> O[Pt],-0.000446105078321,-0.00107799855823,0.00258133469178,-0.003213241664,-0.00110126534575,0.000469381643521,0.000631890661013,-0.000999372065408,-0.000367487719334,0.000183945454393,-0.00013012262321,0.0
7,C + 2 [Pt] <=> C[Pt] + [Pt],-0.00144026581804,-0.00119415136314,0.00208588963512,-0.00183977359129,0.000972391452996,-0.000726278149608,-0.000246110910248,-0.000333746428741,-0.000579856517594,-6.42658882027e-05,-8.2463681759e-05,0.0
8,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],0.347829523592,0.415238443148,-0.455963372076,0.523299145349,-0.269466467023,0.336928394647,-0.0676442060761,0.0727644886761,0.00507106163928,-0.0396184915521,0.000255818503127,-0.575815738964
9,CC + 2 [Pt] <=> 2 C[Pt],-0.00188044332598,-0.0014603002966,0.00254608126128,-0.00212593543532,0.00139806501514,-0.000977924012388,-0.000420135128985,-0.000347709350551,-0.000767843018679,-0.000115086968292,-8.91428101395e-05,0.0
10,[CH3] + [Pt] <=> C[Pt],0.397804886075,0.626152188367,-0.603272106629,0.831148356194,-0.248905724038,0.477594391517,-0.229259307017,0.150139084245,-0.0794644305959,-0.093737514051,-0.0142573868194,0.0639795265515
11,CO + 2 [Pt] <=> C[Pt] + O[Pt],-4.03147661902e-05,-2.9725016653e-05,5.32246688216e-05,-4.26349179196e-05,3.09591440325e-05,-2.03693954872e-05,-1.05897452747e-05,-6.48614586814e-06,-1.70758904567e-05,-2.91242734944e-06,-1.38520678471e-06,0.0
12,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-7.21220116054e-05,-6.32846549314e-05,9.90272090363e-05,-9.01898499695e-05,5.26241990413e-05,-4.37868440985e-05,-8.83735030118e-06,-1.48597335123e-05,-2.36970824876e-05,-1.57578833765e-06,-2.7408581739e-06,0.0
13,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],-2.93436620363e-06,-3.39533913774e-06,4.29064532849e-06,-4.75161827166e-06,1.95149008044e-06,-2.41246302306e-06,4.60972923136e-07,-6.86793641252e-07,-2.25820709089e-07,3.39865351125e-07,1.87585472574e-09,0.0
14,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],-8.47661486109e-08,5.52435024513e-08,1.70567172329e-07,-3.05575285952e-08,2.25873713871e-08,1.17422269903e-07,-1.40009651026e-07,1.35929580258e-07,-4.08005797594e-09,4.99861980892e-08,3.84366424108e-10,0.0
15,C#[Pt] + O[Pt] <=> C=[Pt] + O=[Pt],0.0996252758959,0.120800687343,-0.142461739833,0.163628071437,-0.0685823018988,0.0897642933787,-0.0211965285471,0.0284001012136,0.00719755283093,-0.0101175822145,-6.924993052e-05,0.0
16,2 C=[Pt] <=> C[Pt] + C#[Pt],0.099625641628,0.120801585757,-0.142462512139,0.16362937611,-0.0685823729928,0.0897648973822,-0.0211970618375,0.0284003854569,0.00719730357219,-0.0101177795595,-6.92450935857e-05,0.0
17,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],-4.87402075096e-08,1.09270700832e-07,1.42558305944e-07,1.54525956967e-08,-1.92484171544e-08,1.77259312362e-07,-1.58010909947e-07,1.55409057157e-07,-2.60184088191e-09,5.05108043237e-08,1.72597173834e-10,0.0
18,C~[Pt] + [H][H] <=> C=[Pt],-3.26268557953e-08,1.29141355845e-07,4.21743421119e-09,1.57550752353e-07,5.32147581208e-08,1.08553441526e-07,-1.61768202537e-07,2.24480495731e-07,6.27123022862e-08,6.51940786664e-08,4.94112077901e-09,0.0
19,C~[Pt] + O[Pt] <=> C#[Pt] + O=[Pt],-7.13945727413e-08,1.37294773401e-07,1.98970575701e-07,9.71876117035e-09,-2.10579478478e-08,2.29747273449e-07,-2.08689341599e-07,2.04240363467e-07,-4.44897264052e-09,6.8752446425e-08,5.53746074063e-11,0.0
