,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO Yield,H2 Selectivity,H2 Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp
0,[Pt],5.37356684496e-06,5.53591542506e-06,-9.34650494465e-05,9.36273978728e-05,2.03098159208e-05,8.88927460336,-1.62348583916e-07,3.61055547072e-06,3.44820688464e-06,8.44898438911e-07,1.12618884557e-07,0.0
1,[Pt],0.000459047255138,0.00189352269957,0.00100988998077,0.000424606535294,-0.000887321092523,8.89100265558,-0.00143448202937,0.0011466516125,-0.000287846865381,0.000528389618956,1.1082076552e-08,0.0
2,O=[Pt],0.000119608217419,0.000457621722447,0.000237187035614,0.000100827675439,-0.000223633133143,8.88971232032,-0.000338013909325,0.000278774843066,-5.92400085561e-05,0.000124448090476,-8.61759458553e-09,0.0
3,C[Pt],0.000114991468959,0.00045107571271,0.000242308223522,9.37772210435e-05,-0.000219163455789,8.88970584701,-0.000336084630213,0.000274799871453,-6.1285682314e-05,0.000124853337312,8.05388860493e-11,0.0
4,O[Pt],0.000116942246278,0.000453782610412,0.000237481607869,9.93599501083e-05,-0.000220275772299,8.88970784572,-0.000336840758042,0.000276439843175,-6.04018460298e-05,0.000124704123729,1.57173338024e-08,0.0
5,O.[Pt],0.000801656688222,0.0033341381775,0.00177927055151,0.000753276299802,-0.00155413513722,8.89229761459,-0.00253250179125,0.00201737898141,-0.0005151739,0.000932117327867,-5.18004235404e-08,0.0
6,O=C=O.[Pt],-0.0102584067349,-0.0128023881915,-0.00343388466186,0.000890251498879,0.0142504426338,8.87325277208,0.00254372051141,-0.00494266826231,-0.00239907347856,0.000865745219368,-1.15493901609e-08,0.0
7,O=C=[Pt],3.29716089586e-05,5.19310051445e-05,8.79051091567e-06,1.01688932e-05,-4.51475024538e-05,8.88935360368,-1.89594024463e-05,2.99664246017e-05,1.10070164779e-05,-3.99129408196e-06,-1.19671035504e-06,0.0
8,C~[Pt],0.266949430589,0.379969801619,-0.590098394322,0.702752563621,-0.172734209299,9.18939313343,-0.113322885828,0.228061996198,0.114480663934,-0.0219685497449,0.000657502297613,0.0
9,C=[Pt],0.000114984203216,0.000450968889627,0.000242180824279,9.38050621704e-05,-0.000219116927993,8.8897057478,-0.000335985072748,0.000274737664882,-6.12483309345e-05,0.000124814964942,5.12397372714e-10,0.0
10,C#[Pt],0.000802839281419,0.00333569219426,0.001776865946,0.000756052307502,-0.00155496144841,8.89229889979,-0.00253287324774,0.00201835029704,-0.000514574072949,0.000932022225323,7.01288277637e-11,0.0
11,C.[Pt],7.13283484636e-05,0.000386542307139,0.000333608588994,-1.83933539048e-05,-0.000189389142262,8.88965380334,-0.000315214183504,0.000236910791303,-7.83041389712e-05,0.000128641013273,1.10045206907e-06,0.0
12,[H][H].[Pt],-8.49013304117e-08,1.25512731854e-07,7.45987388027e-07,-5.35573327123e-07,-1.07840643725e-07,8.88929173754,-2.1041406373e-07,1.21368758655e-07,-8.9045301322e-08,1.89863237864e-07,2.64493754557e-08,0.0
13,[C-]#[O+].[Pt],0.000458931405931,0.00189333193834,0.00100939921616,0.000425022378079,-0.000887028382919,8.89100231697,-0.00143440711534,0.00114653203072,-0.000287891530554,0.000528393160859,-8.28963801648e-11,0.0
14,O=C[Pt],0.000114987477333,0.000451062088804,0.00024230369106,9.37721211801e-05,-0.000219156978939,8.88970583474,-0.000336074997919,0.000274791505617,-6.12844158068e-05,0.000124847948372,-8.25189162194e-10,0.0
