,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp
0,[Pt],-0.0088760690535,-0.00951833960885,0.0149724471779,-0.015614756885,0.00570788294537,-0.00635013315419,0.000642213552042,-0.00195835352522,-0.00131615255,-0.00027055337164,-0.000440057831171,0.0
1,[Pt],-0.00895077774758,-0.00838400454328,0.0163441482642,-0.01577733316,0.00510856630909,-0.00454181487947,-0.000566722478211,-0.000770781609522,-0.00133749971955,8.33216795348e-05,-0.000440727674813,0.0
2,O=[Pt],-0.00894380656417,-0.00837604286781,0.0163365472486,-0.0157687415827,0.00510192243893,-0.00453418055342,-0.000567712921217,-0.000770175911355,-0.00133788446019,8.3034402102e-05,-0.000440633819922,0.0
3,C[Pt],8.5167186806e-10,-7.00589440271e-08,-6.75390870334e-08,-3.37154554034e-09,3.38046507051e-08,-1.04715265574e-07,7.09106190489e-08,-7.15720613168e-08,-6.61445019636e-10,-2.11564586461e-08,-3.2716746217e-10,0.0
4,O[Pt],-0.0116661986371,-0.00975696584333,0.0178706032067,-0.0159612519703,0.00844187298575,-0.00653270174469,-0.00190901008485,0.00073185771801,-0.00117716633808,0.00064005554318,-0.00044068428682,0.0
5,O.[Pt],-0.00895412154765,-0.00838781707044,0.0163490873381,-0.0157827409867,0.00511108107189,-0.00454479835602,-0.000566253774163,-0.000771389657554,-0.00133763906369,8.33837200819e-05,-0.000440845628322,0.0
6,O=C=O.[Pt],-0.00892711795961,-0.00957456854816,0.0151528092574,-0.0158003001507,0.00569172995039,-0.00633915959325,0.000647392795032,-0.0019843894564,-0.00133700950817,-0.000270496936037,-0.000440739450776,0.0
7,O=C=[Pt],-0.00889223744101,-0.00952221226863,0.0151807618187,-0.015810776259,0.00562419612737,-0.00625415036897,0.000629918813761,-0.00198569361899,-0.00135578731349,-0.000273732110765,-0.000442230396277,0.0
8,C~[Pt],-6.09963482807e-08,2.69514617073e-08,1.91324516731e-07,-1.03376707934e-07,-6.73302879479e-09,9.46808394017e-08,-8.79478024238e-08,8.42005604652e-08,-3.74724750873e-09,3.10591466465e-08,-1.90130504118e-10,0.0
9,C=[Pt],-5.98739495579e-05,0.00147872722658,0.00150916020845,2.94632663987e-05,-0.000693295965195,0.00223188555306,-0.00153860025492,0.00153758509031,-1.0388218871e-06,0.000445434398378,-1.42690560089e-10,0.0
10,C#[Pt],-0.00100583798615,-0.00107986614179,1.97707017838e-06,-7.60044826955e-05,0.00152752777366,-0.00160155631548,7.40274110482e-05,-1.27363526126e-05,6.12910490112e-05,4.2155280547e-05,-2.3002348524e-10,0.0
11,C.[Pt],-0.00902230213425,-0.00969477530152,0.0153116688838,-0.0159841843416,0.00575382305399,-0.00642627424359,0.000672412500189,-0.00200998158953,-0.0013375826047,-0.000266750624366,-0.000439885143857,0.0
12,[H][H].[Pt],-0.00892747446546,-0.00957505613699,0.015152561801,-0.0158001837815,0.00569240032536,-0.00633996104899,0.000647523863999,-0.00198429798818,-0.00133678697298,-0.000270429786589,-0.000440710749081,0.0
13,[C-]#[O+].[Pt],-5.08281597485e-09,4.22586138917e-08,5.18128745551e-08,-4.47144558853e-09,-1.92020479915e-08,6.65434710663e-08,-4.73414280999e-08,4.62986838935e-08,-1.04274118769e-09,1.33674632962e-08,-3.98545842929e-10,0.0
14,O=C[Pt],-5.98793068148e-05,0.00147865680719,0.00150911077491,2.94476360337e-05,-0.000693262134085,0.00223178666077,-0.00153853519274,0.001537519774,-1.03907402501e-06,0.000445417667302,1.88144461248e-11,0.0
